Airbnb ,26.06.25 - 29.06.25,,,09.10.25 - 19.10.25,
,name,price,,name,price
,Gemütliche Wohnung in St. Gallen,115 CHF,,Charmante Ferienwohnung 2 Zimmer W43,56 CHF
,Schöne Wohnung im Herzen von Herisau bis 6 Gäste,300 CHF,,Olma / Stadtzentrum / Cosy,126 CHF
,Eigene Studiowohnung mit Küche,60 CHF,,"Histor. grossbürgerl. Wohnhaus, ruhige Lage",46 CHF
,Laddaswisshouse,97 CHF,,"""Leben wie die Locals"" mitten im Zentrum",71 CHF
,Charmante Wohnung in Nähe WBZ Holzweid (HSG),130 CHF,,Eigene Studiowohnung mit Küche,57 CHF
,Dein Zuhause in Herisau,140 CHF,,Charmante Wohnung in Nähe WBZ Holzweid (HSG),130 CHF
,Zimmer sehr zentral in Jugendstilwohnung,52 CHF,,2.5 Zimmer Dachwohnung mit Gartensitzplatz,98 CHF
,Bijoux Ferienwohnung auf Bauernhof im Wald,87 CHF,,Charmante Altbauwohnung ruhig und doch zentral,75 CHF
,St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,70 CHF,,2. Modernes Apartment 2 Min vom Bahnhof,129 CHF
,13 - Gästehaus Erika - Hundwil - Appenzellerland,49 CHF,,Idyllische Wohnung in der Natur,109 CHF
,"Histor. grossbürgerl. Wohnhaus, ruhige Lage",44 CHF,,Gemütliche Wohnung im Zentrum von St. Gallen,68 CHF
,"gemütliches Studio im EG, im Appenzellerland",53 CHF,,Bijoux Ferienwohnung auf Bauernhof im Wald,74 CHF
,"Haus Erika, Hausteil",162 CHF,,Schöne Wohnung im Herzen von Herisau bis 6 Gäste,154 CHF
,Schönes Zimmer in der Nähe von HSG,62 CHF,,Schöne 2 1/2 Zimmer Dachwohnung,73 CHF
,Zimmer mit separater Dusche,38 CHF,,Schönes Zimmer in der Nähe von HSG,56 CHF
,"Kleines, cooles Loft im schönen Appenzellerland",100 CHF,,"Ruhig, City-und Naturnah, inkl. Parkplatz & Balkon",194 CHF
,Möbliertes Studio mit Garten W5,50 CHF,,Möbliertes Studio mit Garten W5,48 CHF
,"Birkenhof, Haus Märli",500 CHF,,Dein Zuhause in Herisau,84 CHF
,Bijoux Ferienwohnung auf Bauernhof im Wald,87 CHF,,TouchBed | Budget-Studio,109 CHF
,St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,70 CHF,,Zur Geduld (direkt am Bahnhof),57 CHF
,"Histor. grossbürgerl. Wohnhaus, ruhige Lage",44 CHF,,"Ruhig, Gratis Parkplatz, Balkon & im 1. Stockwerk",194 CHF
,Schönes Zimmer in der Nähe von HSG,62 CHF,,Altbauwohnung mit Charme,70 CHF
,Zimmer mit separater Dusche,38 CHF,,Gemütliche Wohnung,60 CHF
,Möbliertes Studio mit Garten W5,50 CHF,,Moderne Ruheoase auf entlegenem Hügel,111 CHF
,"Birkenhof, Haus Märli",500 CHF,,"Herisau, Zuhause mittendrin und trotzdem ruhig",48 CHF
,Gemütliche Wohnung in St. Gallen,115 CHF,,Atelier/Loft im Grünen Individuelles Altes Haus,99 CHF
,Schöne Wohnung im Herzen von Herisau bis 6 Gäste,300 CHF,,"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",68 CHF
,Eigene Studiowohnung mit Küche,60 CHF,,Schöne Wohnung im Herzen von Herisau bis 4 Gäste,124 CHF
,Charmante Wohnung in Nähe WBZ Holzweid (HSG),130 CHF,,Poliba St.Gallen-3 1/2 zimmer wohnung,37 CHF
,Dein Zuhause in Herisau,140 CHF,,Säntis Park/Freies Parken/Netflix,59 CHF
,Zimmer sehr zentral in Jugendstilwohnung,52 CHF,,1. Modernes Apartment 2 Min vom Bahnhof,129 CHF
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
